Source,Target,Type,Label,Predicate,Interval
Azertus,Trade,Directed,edit,P7301,3;4
Jeanjung212,Horcrux,Directed,edit,P2581,3;4
Jeanjung212,Ivan A. Krestinin,Directed,delete,P3479,2;3
Jeanjung212,Pyb en résidence,Directed,edit,P5551,3;4
Neo-Jay,Trade,Directed,edit,P527,1;2
Trade,Neo-Jay,Directed,edit,P527,1;2
Neo-Jay,Theklan,Directed,edit,P527,1;2
Theklan,Davidpar,Directed,edit,P527,1;2
Davidpar,Toghrul R,Directed,edit,P527,1;2
Toghrul R,Davidpar,Directed,edit,P527,1;2
Davidpar,Neo-Jay,Directed,edit,P527,1;2
Neo-Jay,Eulenspiegel1,Directed,edit,P527,1;2
Eulenspiegel1,Matlin,Directed,edit,P527,2;3
Neo-Jay,BohemianRhapsody,Directed,delete,P625,1;2
Triggerhippie4,Sdkb,Directed,edit,P1846,1;2
Sdkb,Naypta,Directed,edit,P1846,1;2
Naypta,Raphaël Dunant,Directed,edit,P1846,1;2
Raphaël Dunant,Naypta,Directed,edit,P1846,1;2
Naypta,Iwan.Aucamp,Directed,edit,P1846,1;2
Iwan.Aucamp,Davidpar,Directed,edit,P1846,1;2
Neo-Jay,Sdkb,Directed,delete,P1339,1;2
Premeditated,IngeniousBot,Directed,edit,P5082,2;3
Mikani,Codas,Directed,edit,P948,3;4
Neo-Jay,Yupik,Directed,delete,P6104,1;2
Spinster,Yupik,Directed,create,P5008,1;2
Yupik,Research Bot,Directed,edit,P5008,2;3
Research Bot,Theklan,Directed,edit,P5008,2;3
Theklan,Steenthbot,Directed,edit,P5008,3;4
ElmarG,Eulenspiegel1,Directed,delete,P460,1;2
Nintendofan885,Robins7,Directed,delete,P1151,1;2
Robins7,Alan ffm,Directed,create,P1151,1;2
Alan ffm,Christmas Wreath,Directed,delete,P1151,2;3
TiagoLubiana,So9q,Directed,edit,P8010,1;2
So9q,Jimmy Olano,Directed,edit,P8010,1;2
Jimmy Olano,105.159.2.2,Directed,edit,P8010,1;2
105.159.2.2,Saabzy,Directed,edit,P8010,1;2
Saabzy,Sun8908,Directed,edit,P8010,1;2
Sun8908,Premeditated,Directed,edit,P8010,1;2
Premeditated,2600:8807:9200:E9:DBF:763A:FBE0:6420,Directed,edit,P8010,1;2
2600:8807:9200:E9:DBF:763A:FBE0:6420,Epìdosis,Directed,edit,P8010,1;2
Epìdosis,105.107.214.147,Directed,edit,P8010,1;2
105.107.214.147,Sun8908,Directed,edit,P8010,1;2
Sun8908,Bassel Elgohary,Directed,edit,P8010,1;2
Bassel Elgohary,Julián L. Páez,Directed,edit,P8010,1;2
Julián L. Páez,Bassel Elgohary,Directed,edit,P8010,1;2
Bassel Elgohary,Shiro D. Neko,Directed,edit,P8010,1;2
Shiro D. Neko,Z7504,Directed,edit,P8010,1;2
Pacostein,Wd-Ryan,Directed,edit,P7775,1;2
Wd-Ryan,Hanif Al Husaini,Directed,edit,P7775,1;2
Hanif Al Husaini,Susmuffin,Directed,edit,P7775,2;3
Susmuffin,1857a,Directed,edit,P7775,3;4
Pacostein,37.124.135.233,Directed,edit,P6839,1;2
37.124.135.233,FallingGravity,Directed,edit,P6839,2;3
FallingGravity,Lemondoge,Directed,edit,P6839,3;4
NMaia,Sun8908,Directed,edit,P1282,1;2
Sun8908,Reinheitsgebot,Directed,edit,P1282,2;3
112.79.112.86,Pacostein,Directed,delete,P7829,1;2
Leonprimer,Horcrux,Directed,edit,P1417,3;4
Pacostein,Ameisenigel,Directed,delete,P7827,3;4
Angelillo28,Julián L. Páez,Directed,delete,P582,1;2
Julián L. Páez,Angelillo2026,Directed,create,P582,1;2
Angelillo2026,Epìdosis,Directed,delete,P582,1;2
J 1982,Horcrux,Directed,delete,P4073,3;4
Baidax,Eihel,Directed,delete,P9346,1;2
Eihel,Pyb en résidence,Directed,edit,P9346,3;4
Egon Willighagen,Horcrux,Directed,edit,P10283,3;4
C7002593,KrBot,Directed,edit,P244,2;3
KrBot,Kolja21,Directed,edit,P244,2;3
Wurgl,Kolja21,Directed,edit,P227,2;3
Zhenqinli,Swpb,Directed,edit,P11738,3;4
Mr. Ibrahem,Mr.Ibrahembot,Directed,edit,P11143,3;4
Mr.Ibrahembot,KrBot,Directed,edit,P11143,3;4
Reinheitsgebot,Epìdosis,Directed,delete,P4656,3;4
